step,return,config
3600,8.0,PPO-MLP / CartPole (MDP)
3652,32.0,PPO-MLP / CartPole (MDP)
3664,15.0,PPO-MLP / CartPole (MDP)
3664,22.0,PPO-MLP / CartPole (MDP)
3672,65.0,PPO-MLP / CartPole (MDP)
3748,20.0,PPO-MLP / CartPole (MDP)
3768,28.0,PPO-MLP / CartPole (MDP)
3828,40.0,PPO-MLP / CartPole (MDP)
3832,39.0,PPO-MLP / CartPole (MDP)
3860,27.0,PPO-MLP / CartPole (MDP)
3880,27.0,PPO-MLP / CartPole (MDP)
3940,27.0,PPO-MLP / CartPole (MDP)
3948,28.0,PPO-MLP / CartPole (MDP)
4020,19.0,PPO-MLP / CartPole (MDP)
4044,40.0,PPO-MLP / CartPole (MDP)
4052,25.0,PPO-MLP / CartPole (MDP)
4120,64.0,PPO-MLP / CartPole (MDP)
4196,37.0,PPO-MLP / CartPole (MDP)
4200,36.0,PPO-MLP / CartPole (MDP)
4268,61.0,PPO-MLP / CartPole (MDP)
4276,19.0,PPO-MLP / CartPole (MDP)
4312,47.0,PPO-MLP / CartPole (MDP)
4320,29.0,PPO-MLP / CartPole (MDP)
4388,27.0,PPO-MLP / CartPole (MDP)
4412,22.0,PPO-MLP / CartPole (MDP)
4436,30.0,PPO-MLP / CartPole (MDP)
4440,42.0,PPO-MLP / CartPole (MDP)
4508,23.0,PPO-MLP / CartPole (MDP)
4520,20.0,PPO-MLP / CartPole (MDP)
4568,14.0,PPO-MLP / CartPole (MDP)
4616,56.0,PPO-MLP / CartPole (MDP)
4672,25.0,PPO-MLP / CartPole (MDP)
4708,22.0,PPO-MLP / CartPole (MDP)
4712,67.0,PPO-MLP / CartPole (MDP)
4820,26.0,PPO-MLP / CartPole (MDP)
4864,85.0,PPO-MLP / CartPole (MDP)
4888,16.0,PPO-MLP / CartPole (MDP)
4912,59.0,PPO-MLP / CartPole (MDP)
4936,56.0,PPO-MLP / CartPole (MDP)
5016,37.0,PPO-MLP / CartPole (MDP)
5088,43.0,PPO-MLP / CartPole (MDP)
5164,56.0,PPO-MLP / CartPole (MDP)
5172,70.0,PPO-MLP / CartPole (MDP)
5240,18.0,PPO-MLP / CartPole (MDP)
5284,48.0,PPO-MLP / CartPole (MDP)
5320,75.0,PPO-MLP / CartPole (MDP)
5372,32.0,PPO-MLP / CartPole (MDP)
5428,63.0,PPO-MLP / CartPole (MDP)
5544,64.0,PPO-MLP / CartPole (MDP)
5548,56.0,PPO-MLP / CartPole (MDP)
5572,49.0,PPO-MLP / CartPole (MDP)
5624,19.0,PPO-MLP / CartPole (MDP)
5704,38.0,PPO-MLP / CartPole (MDP)
5724,73.0,PPO-MLP / CartPole (MDP)
5752,11.0,PPO-MLP / CartPole (MDP)
5792,41.0,PPO-MLP / CartPole (MDP)
5844,22.0,PPO-MLP / CartPole (MDP)
5912,46.0,PPO-MLP / CartPole (MDP)
5960,41.0,PPO-MLP / CartPole (MDP)
6084,127.0,PPO-MLP / CartPole (MDP)
6120,68.0,PPO-MLP / CartPole (MDP)
6236,68.0,PPO-MLP / CartPole (MDP)
6236,80.0,PPO-MLP / CartPole (MDP)
