step,return,config
2320,17.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2332,15.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2408,21.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2412,34.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2432,29.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2456,10.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2464,13.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2480,36.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2500,16.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2544,19.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2552,17.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2596,34.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2596,23.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2604,12.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2656,14.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2656,27.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2704,24.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2708,12.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2736,19.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2756,11.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2764,41.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2796,22.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2804,11.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2840,18.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2848,27.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2856,14.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2868,15.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2900,14.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2920,12.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2928,17.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2964,15.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
2984,13.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3024,14.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3028,26.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3076,56.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3076,12.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3104,29.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3112,20.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3144,16.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3156,12.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3172,23.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3208,23.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3212,13.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3252,19.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3312,25.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3320,26.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3332,19.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3360,9.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3368,13.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3372,56.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3404,17.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3408,11.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3448,19.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3456,11.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3476,17.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3496,30.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3528,12.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3560,27.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3568,9.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3588,22.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3624,13.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3636,44.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3728,41.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3748,27.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3792,15.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3796,11.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3836,9.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3852,65.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
3864,17.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
