step,return,config
2608,26.0,PPO-LSTM / CartPole-Masked (POMDP)
2720,27.0,PPO-LSTM / CartPole-Masked (POMDP)
2720,16.0,PPO-LSTM / CartPole-Masked (POMDP)
2728,39.0,PPO-LSTM / CartPole-Masked (POMDP)
2848,15.0,PPO-LSTM / CartPole-Masked (POMDP)
2848,15.0,PPO-LSTM / CartPole-Masked (POMDP)
2888,67.0,PPO-LSTM / CartPole-Masked (POMDP)
2912,56.0,PPO-LSTM / CartPole-Masked (POMDP)
2928,44.0,PPO-LSTM / CartPole-Masked (POMDP)
2960,28.0,PPO-LSTM / CartPole-Masked (POMDP)
2960,95.0,PPO-LSTM / CartPole-Masked (POMDP)
2976,15.0,PPO-LSTM / CartPole-Masked (POMDP)
3032,14.0,PPO-LSTM / CartPole-Masked (POMDP)
3048,54.0,PPO-LSTM / CartPole-Masked (POMDP)
3072,17.0,PPO-LSTM / CartPole-Masked (POMDP)
3088,15.0,PPO-LSTM / CartPole-Masked (POMDP)
3120,28.0,PPO-LSTM / CartPole-Masked (POMDP)
3152,12.0,PPO-LSTM / CartPole-Masked (POMDP)
3168,11.0,PPO-LSTM / CartPole-Masked (POMDP)
3176,17.0,PPO-LSTM / CartPole-Masked (POMDP)
3208,14.0,PPO-LSTM / CartPole-Masked (POMDP)
3216,29.0,PPO-LSTM / CartPole-Masked (POMDP)
3328,59.0,PPO-LSTM / CartPole-Masked (POMDP)
3336,15.0,PPO-LSTM / CartPole-Masked (POMDP)
3344,20.0,PPO-LSTM / CartPole-Masked (POMDP)
3360,29.0,PPO-LSTM / CartPole-Masked (POMDP)
3480,14.0,PPO-LSTM / CartPole-Masked (POMDP)
3488,39.0,PPO-LSTM / CartPole-Masked (POMDP)
3496,34.0,PPO-LSTM / CartPole-Masked (POMDP)
3544,72.0,PPO-LSTM / CartPole-Masked (POMDP)
3592,13.0,PPO-LSTM / CartPole-Masked (POMDP)
3600,55.0,PPO-LSTM / CartPole-Masked (POMDP)
3608,14.0,PPO-LSTM / CartPole-Masked (POMDP)
3624,36.0,PPO-LSTM / CartPole-Masked (POMDP)
