config,seed,episode,eval_return
sb3_recurrentppo_pomdp,2,1,474.0
sb3_recurrentppo_pomdp,2,2,500.0
sb3_recurrentppo_pomdp,2,3,432.0
sb3_recurrentppo_pomdp,2,4,255.0
sb3_recurrentppo_pomdp,2,5,288.0
sb3_recurrentppo_pomdp,2,6,500.0
sb3_recurrentppo_pomdp,2,7,224.0
sb3_recurrentppo_pomdp,2,8,248.0
sb3_recurrentppo_pomdp,2,9,500.0
sb3_recurrentppo_pomdp,2,10,342.0
sb3_recurrentppo_pomdp,2,11,500.0
sb3_recurrentppo_pomdp,2,12,319.0
sb3_recurrentppo_pomdp,2,13,321.0
sb3_recurrentppo_pomdp,2,14,500.0
sb3_recurrentppo_pomdp,2,15,328.0
sb3_recurrentppo_pomdp,2,16,294.0
sb3_recurrentppo_pomdp,2,17,500.0
sb3_recurrentppo_pomdp,2,18,316.0
sb3_recurrentppo_pomdp,2,19,255.0
sb3_recurrentppo_pomdp,2,20,500.0
