step,return,k,config,seed
4172,17.0,1,framestack_k1,1
4188,15.0,1,framestack_k1,1
4192,10.0,1,framestack_k1,1
4212,9.0,1,framestack_k1,1
4240,25.0,1,framestack_k1,1
4308,29.0,1,framestack_k1,1
4344,25.0,1,framestack_k1,1
4360,12.0,1,framestack_k1,1
4404,52.0,1,framestack_k1,1
4408,15.0,1,framestack_k1,1
4412,49.0,1,framestack_k1,1
4488,19.0,1,framestack_k1,1
4500,21.0,1,framestack_k1,1
4556,13.0,1,framestack_k1,1
4632,18.0,1,framestack_k1,1
4648,71.0,1,framestack_k1,1
4652,40.0,1,framestack_k1,1
4696,11.0,1,framestack_k1,1
4748,12.0,1,framestack_k1,1
4760,88.0,1,framestack_k1,1
4784,37.0,1,framestack_k1,1
4792,10.0,1,framestack_k1,1
4812,12.0,1,framestack_k1,1
4816,40.0,1,framestack_k1,1
4856,15.0,1,framestack_k1,1
4888,17.0,1,framestack_k1,1
4932,36.0,1,framestack_k1,1
4952,15.0,1,framestack_k1,1
4976,10.0,1,framestack_k1,1
5036,44.0,1,framestack_k1,1
5036,20.0,1,framestack_k1,1
5048,17.0,1,framestack_k1,1
5068,63.0,1,framestack_k1,1
5112,18.0,1,framestack_k1,1
5120,17.0,1,framestack_k1,1
5136,16.0,1,framestack_k1,1
5140,25.0,1,framestack_k1,1
5208,21.0,1,framestack_k1,1
5240,24.0,1,framestack_k1,1
5244,8.0,1,framestack_k1,1
5264,37.0,1,framestack_k1,1
5280,9.0,1,framestack_k1,1
5300,40.0,1,framestack_k1,1
5360,23.0,1,framestack_k1,1
5376,18.0,1,framestack_k1,1
5416,33.0,1,framestack_k1,1
5428,12.0,1,framestack_k1,1
5436,47.0,1,framestack_k1,1
5456,23.0,1,framestack_k1,1
5480,15.0,1,framestack_k1,1
5504,11.0,1,framestack_k1,1
5556,12.0,1,framestack_k1,1
5564,31.0,1,framestack_k1,1
5604,11.0,1,framestack_k1,1
5604,43.0,1,framestack_k1,1
5628,15.0,1,framestack_k1,1
5680,49.0,1,framestack_k1,1
5692,15.0,1,framestack_k1,1
5692,21.0,1,framestack_k1,1
5744,34.0,1,framestack_k1,1
5760,19.0,1,framestack_k1,1
5820,31.0,1,framestack_k1,1
5836,18.0,1,framestack_k1,1
5888,12.0,1,framestack_k1,1
5916,55.0,1,framestack_k1,1
5964,18.0,1,framestack_k1,1
5968,12.0,1,framestack_k1,1
6020,68.0,1,framestack_k1,1
6048,19.0,1,framestack_k1,1
6100,33.0,1,framestack_k1,1
6116,23.0,1,framestack_k1,1
6164,15.0,1,framestack_k1,1
6188,17.0,1,framestack_k1,1
6236,17.0,1,framestack_k1,1
6260,17.0,1,framestack_k1,1
6284,115.0,1,framestack_k1,1
6344,14.0,1,framestack_k1,1
6356,29.0,1,framestack_k1,1
6360,24.0,1,framestack_k1,1
6412,12.0,1,framestack_k1,1
6448,99.0,1,framestack_k1,1
6448,25.0,1,framestack_k1,1
6448,22.0,1,framestack_k1,1
6484,17.0,1,framestack_k1,1
6508,14.0,1,framestack_k1,1
6576,16.0,1,framestack_k1,1
6588,34.0,1,framestack_k1,1
6624,43.0,1,framestack_k1,1
6652,41.0,1,framestack_k1,1
6664,18.0,1,framestack_k1,1
6668,10.0,1,framestack_k1,1
6724,17.0,1,framestack_k1,1
6724,36.0,1,framestack_k1,1
6748,20.0,1,framestack_k1,1
6780,13.0,1,framestack_k1,1
6848,24.0,1,framestack_k1,1
6888,54.0,1,framestack_k1,1
6892,27.0,1,framestack_k1,1
6900,12.0,1,framestack_k1,1
6952,14.0,1,framestack_k1,1
6964,15.0,1,framestack_k1,1
6972,61.0,1,framestack_k1,1
6996,26.0,1,framestack_k1,1
7012,14.0,1,framestack_k1,1
7024,12.0,1,framestack_k1,1
7068,13.0,1,framestack_k1,1
7096,24.0,1,framestack_k1,1
7144,18.0,1,framestack_k1,1
7160,48.0,1,framestack_k1,1
7164,16.0,1,framestack_k1,1
7212,16.0,1,framestack_k1,1
7228,16.0,1,framestack_k1,1
7248,55.0,1,framestack_k1,1
7280,12.0,1,framestack_k1,1
7312,15.0,1,framestack_k1,1
7328,11.0,1,framestack_k1,1
7340,31.0,1,framestack_k1,1
7368,50.0,1,framestack_k1,1
7428,21.0,1,framestack_k1,1
7436,16.0,1,framestack_k1,1
