step,return,k,config,seed
60,15.0,2,framestack_k2,1
108,27.0,2,framestack_k2,1
116,29.0,2,framestack_k2,1
124,31.0,2,framestack_k2,1
152,22.0,2,framestack_k2,1
164,11.0,2,framestack_k2,1
172,11.0,2,framestack_k2,1
196,21.0,2,framestack_k2,1
220,11.0,2,framestack_k2,1
228,18.0,2,framestack_k2,1
264,24.0,2,framestack_k2,1
296,16.0,2,framestack_k2,1
336,28.0,2,framestack_k2,1
344,19.0,2,framestack_k2,1
356,14.0,2,framestack_k2,1
356,39.0,2,framestack_k2,1
400,10.0,2,framestack_k2,1
408,15.0,2,framestack_k2,1
424,21.0,2,framestack_k2,1
472,17.0,2,framestack_k2,1
496,17.0,2,framestack_k2,1
520,40.0,2,framestack_k2,1
560,37.0,2,framestack_k2,1
572,24.0,2,framestack_k2,1
596,18.0,2,framestack_k2,1
600,25.0,2,framestack_k2,1
612,12.0,2,framestack_k2,1
620,11.0,2,framestack_k2,1
668,17.0,2,framestack_k2,1
688,21.0,2,framestack_k2,1
700,19.0,2,framestack_k2,1
716,11.0,2,framestack_k2,1
764,15.0,2,framestack_k2,1
768,19.0,2,framestack_k2,1
792,44.0,2,framestack_k2,1
816,11.0,2,framestack_k2,1
844,19.0,2,framestack_k2,1
848,32.0,2,framestack_k2,1
860,16.0,2,framestack_k2,1
880,15.0,2,framestack_k2,1
932,21.0,2,framestack_k2,1
932,12.0,2,framestack_k2,1
940,19.0,2,framestack_k2,1
1036,46.0,2,framestack_k2,1
1080,10.0,2,framestack_k2,1
1088,38.0,2,framestack_k2,1
1108,43.0,2,framestack_k2,1
1120,44.0,2,framestack_k2,1
1124,10.0,2,framestack_k2,1
1172,12.0,2,framestack_k2,1
1184,18.0,2,framestack_k2,1
1188,24.0,2,framestack_k2,1
1252,19.0,2,framestack_k2,1
1268,20.0,2,framestack_k2,1
1288,24.0,2,framestack_k2,1
1304,44.0,2,framestack_k2,1
1304,12.0,2,framestack_k2,1
1344,13.0,2,framestack_k2,1
1376,17.0,2,framestack_k2,1
1408,25.0,2,framestack_k2,1
1436,22.0,2,framestack_k2,1
1464,48.0,2,framestack_k2,1
1468,14.0,2,framestack_k2,1
1488,12.0,2,framestack_k2,1
1528,15.0,2,framestack_k2,1
1564,23.0,2,framestack_k2,1
1568,47.0,2,framestack_k2,1
1596,16.0,2,framestack_k2,1
1612,10.0,2,framestack_k2,1
1620,32.0,2,framestack_k2,1
1624,14.0,2,framestack_k2,1
1676,13.0,2,framestack_k2,1
1676,15.0,2,framestack_k2,1
1680,13.0,2,framestack_k2,1
1688,22.0,2,framestack_k2,1
1744,16.0,2,framestack_k2,1
1744,16.0,2,framestack_k2,1
1776,23.0,2,framestack_k2,1
1880,33.0,2,framestack_k2,1
1896,29.0,2,framestack_k2,1
1956,14.0,2,framestack_k2,1
1960,19.0,2,framestack_k2,1
1972,56.0,2,framestack_k2,1
2012,9.0,2,framestack_k2,1
2056,24.0,2,framestack_k2,1
2076,96.0,2,framestack_k2,1
2080,16.0,2,framestack_k2,1
2148,46.0,2,framestack_k2,1
2152,23.0,2,framestack_k2,1
2160,19.0,2,framestack_k2,1
2208,14.0,2,framestack_k2,1
2228,37.0,2,framestack_k2,1
2236,18.0,2,framestack_k2,1
2268,9.0,2,framestack_k2,1
2344,33.0,2,framestack_k2,1
2372,25.0,2,framestack_k2,1
2388,58.0,2,framestack_k2,1
2392,11.0,2,framestack_k2,1
2400,40.0,2,framestack_k2,1
2444,17.0,2,framestack_k2,1
2460,14.0,2,framestack_k2,1
2460,17.0,2,framestack_k2,1
2516,13.0,2,framestack_k2,1
2544,37.0,2,framestack_k2,1
2544,20.0,2,framestack_k2,1
2584,34.0,2,framestack_k2,1
2604,21.0,2,framestack_k2,1
2652,16.0,2,framestack_k2,1
2688,35.0,2,framestack_k2,1
2712,41.0,2,framestack_k2,1
2740,33.0,2,framestack_k2,1
2744,13.0,2,framestack_k2,1
2752,24.0,2,framestack_k2,1
2800,11.0,2,framestack_k2,1
2808,16.0,2,framestack_k2,1
2824,27.0,2,framestack_k2,1
2836,22.0,2,framestack_k2,1
2912,25.0,2,framestack_k2,1
2924,24.0,2,framestack_k2,1
2928,22.0,2,framestack_k2,1
2928,31.0,2,framestack_k2,1
2984,17.0,2,framestack_k2,1
2988,15.0,2,framestack_k2,1
2996,16.0,2,framestack_k2,1
3000,17.0,2,framestack_k2,1
3044,10.0,2,framestack_k2,1
3044,14.0,2,framestack_k2,1
3044,13.0,2,framestack_k2,1
3056,14.0,2,framestack_k2,1
3108,15.0,2,framestack_k2,1
3112,16.0,2,framestack_k2,1
3140,20.0,2,framestack_k2,1
3172,14.0,2,framestack_k2,1
3196,21.0,2,framestack_k2,1
3220,19.0,2,framestack_k2,1
3252,51.0,2,framestack_k2,1
3260,21.0,2,framestack_k2,1
3268,11.0,2,framestack_k2,1
3312,10.0,2,framestack_k2,1
3332,19.0,2,framestack_k2,1
3340,35.0,2,framestack_k2,1
3348,21.0,2,framestack_k2,1
3404,17.0,2,framestack_k2,1
3416,18.0,2,framestack_k2,1
3440,22.0,2,framestack_k2,1
3484,19.0,2,framestack_k2,1
3488,17.0,2,framestack_k2,1
3492,12.0,2,framestack_k2,1
3520,51.0,2,framestack_k2,1
3596,25.0,2,framestack_k2,1
3604,20.0,2,framestack_k2,1
3604,28.0,2,framestack_k2,1
3644,39.0,2,framestack_k2,1
3656,12.0,2,framestack_k2,1
3664,16.0,2,framestack_k2,1
3692,21.0,2,framestack_k2,1
3716,14.0,2,framestack_k2,1
3728,15.0,2,framestack_k2,1
3752,14.0,2,framestack_k2,1
3772,10.0,2,framestack_k2,1
3792,36.0,2,framestack_k2,1
3800,20.0,2,framestack_k2,1
3840,21.0,2,framestack_k2,1
3848,11.0,2,framestack_k2,1
3848,13.0,2,framestack_k2,1
3920,19.0,2,framestack_k2,1
3960,27.0,2,framestack_k2,1
3964,28.0,2,framestack_k2,1
3992,17.0,2,framestack_k2,1
4012,11.0,2,framestack_k2,1
4020,14.0,2,framestack_k2,1
4024,62.0,2,framestack_k2,1
4048,13.0,2,framestack_k2,1
4060,11.0,2,framestack_k2,1
4064,10.0,2,framestack_k2,1
4140,19.0,2,framestack_k2,1
4156,32.0,2,framestack_k2,1
4168,29.0,2,framestack_k2,1
4212,13.0,2,framestack_k2,1
4220,12.0,2,framestack_k2,1
4256,28.0,2,framestack_k2,1
4264,12.0,2,framestack_k2,1
4276,52.0,2,framestack_k2,1
4332,27.0,2,framestack_k2,1
4348,20.0,2,framestack_k2,1
4388,32.0,2,framestack_k2,1
4396,15.0,2,framestack_k2,1
4452,15.0,2,framestack_k2,1
4472,30.0,2,framestack_k2,1
4504,26.0,2,framestack_k2,1
4520,16.0,2,framestack_k2,1
4544,66.0,2,framestack_k2,1
4556,12.0,2,framestack_k2,1
4576,25.0,2,framestack_k2,1
4616,14.0,2,framestack_k2,1
4652,18.0,2,framestack_k2,1
4676,32.0,2,framestack_k2,1
4684,16.0,2,framestack_k2,1
4688,41.0,2,framestack_k2,1
4772,29.0,2,framestack_k2,1
4796,26.0,2,framestack_k2,1
4804,29.0,2,framestack_k2,1
4820,11.0,2,framestack_k2,1
4892,53.0,2,framestack_k2,1
4924,31.0,2,framestack_k2,1
4924,29.0,2,framestack_k2,1
4944,30.0,2,framestack_k2,1
4972,19.0,2,framestack_k2,1
5004,14.0,2,framestack_k2,1
5008,20.0,2,framestack_k2,1
5048,18.0,2,framestack_k2,1
5088,19.0,2,framestack_k2,1
5088,20.0,2,framestack_k2,1
5096,42.0,2,framestack_k2,1
5140,12.0,2,framestack_k2,1
5140,10.0,2,framestack_k2,1
5148,24.0,2,framestack_k2,1
5176,21.0,2,framestack_k2,1
5232,22.0,2,framestack_k2,1
5240,24.0,2,framestack_k2,1
5256,26.0,2,framestack_k2,1
5256,19.0,2,framestack_k2,1
5312,19.0,2,framestack_k2,1
5312,13.0,2,framestack_k2,1
5340,24.0,2,framestack_k2,1
5340,20.0,2,framestack_k2,1
5400,21.0,2,framestack_k2,1
5408,16.0,2,framestack_k2,1
5448,33.0,2,framestack_k2,1
5464,30.0,2,framestack_k2,1
5480,19.0,2,framestack_k2,1
5480,17.0,2,framestack_k2,1
5540,14.0,2,framestack_k2,1
5540,22.0,2,framestack_k2,1
5564,20.0,2,framestack_k2,1
5588,11.0,2,framestack_k2,1
5588,30.0,2,framestack_k2,1
5608,16.0,2,framestack_k2,1
5664,24.0,2,framestack_k2,1
5672,20.0,2,framestack_k2,1
5700,27.0,2,framestack_k2,1
5716,26.0,2,framestack_k2,1
5820,36.0,2,framestack_k2,1
5832,41.0,2,framestack_k2,1
5860,9.0,2,framestack_k2,1
5868,37.0,2,framestack_k2,1
5896,15.0,2,framestack_k2,1
5900,49.0,2,framestack_k2,1
