step,return,k,config,seed
32,8.0,8,framestack_k8,1
44,11.0,8,framestack_k8,1
64,16.0,8,framestack_k8,1
64,16.0,8,framestack_k8,1
100,13.0,8,framestack_k8,1
116,20.0,8,framestack_k8,1
128,15.0,8,framestack_k8,1
136,17.0,8,framestack_k8,1
184,13.0,8,framestack_k8,1
184,16.0,8,framestack_k8,1
192,22.0,8,framestack_k8,1
236,12.0,8,framestack_k8,1
300,26.0,8,framestack_k8,1
328,47.0,8,framestack_k8,1
352,12.0,8,framestack_k8,1
360,43.0,8,framestack_k8,1
412,43.0,8,framestack_k8,1
424,15.0,8,framestack_k8,1
428,18.0,8,framestack_k8,1
468,34.0,8,framestack_k8,1
472,14.0,8,framestack_k8,1
472,11.0,8,framestack_k8,1
516,10.0,8,framestack_k8,1
544,17.0,8,framestack_k8,1
544,28.0,8,framestack_k8,1
556,21.0,8,framestack_k8,1
608,15.0,8,framestack_k8,1
652,26.0,8,framestack_k8,1
660,25.0,8,framestack_k8,1
672,38.0,8,framestack_k8,1
712,14.0,8,framestack_k8,1
716,26.0,8,framestack_k8,1
720,14.0,8,framestack_k8,1
752,19.0,8,framestack_k8,1
764,12.0,8,framestack_k8,1
808,13.0,8,framestack_k8,1
820,24.0,8,framestack_k8,1
848,20.0,8,framestack_k8,1
848,32.0,8,framestack_k8,1
880,14.0,8,framestack_k8,1
884,18.0,8,framestack_k8,1
904,13.0,8,framestack_k8,1
920,17.0,8,framestack_k8,1
944,15.0,8,framestack_k8,1
952,16.0,8,framestack_k8,1
988,16.0,8,framestack_k8,1
1000,23.0,8,framestack_k8,1
1028,20.0,8,framestack_k8,1
1032,19.0,8,framestack_k8,1
1060,17.0,8,framestack_k8,1
1096,15.0,8,framestack_k8,1
1100,17.0,8,framestack_k8,1
1124,30.0,8,framestack_k8,1
1148,21.0,8,framestack_k8,1
1156,14.0,8,framestack_k8,1
1192,22.0,8,framestack_k8,1
1244,29.0,8,framestack_k8,1
1260,25.0,8,framestack_k8,1
1316,41.0,8,framestack_k8,1
1332,34.0,8,framestack_k8,1
1356,27.0,8,framestack_k8,1
1372,13.0,8,framestack_k8,1
1388,31.0,8,framestack_k8,1
1404,17.0,8,framestack_k8,1
1416,10.0,8,framestack_k8,1
1468,15.0,8,framestack_k8,1
1468,19.0,8,framestack_k8,1
1496,34.0,8,framestack_k8,1
1520,25.0,8,framestack_k8,1
1548,19.0,8,framestack_k8,1
1624,31.0,8,framestack_k8,1
1644,23.0,8,framestack_k8,1
1680,13.0,8,framestack_k8,1
1696,43.0,8,framestack_k8,1
1732,65.0,8,framestack_k8,1
1744,24.0,8,framestack_k8,1
1760,15.0,8,framestack_k8,1
1796,12.0,8,framestack_k8,1
1804,17.0,8,framestack_k8,1
1812,32.0,8,framestack_k8,1
1824,15.0,8,framestack_k8,1
1888,18.0,8,framestack_k8,1
1892,23.0,8,framestack_k8,1
1904,19.0,8,framestack_k8,1
1952,11.0,8,framestack_k8,1
1956,15.0,8,framestack_k8,1
2016,52.0,8,framestack_k8,1
2020,16.0,8,framestack_k8,1
2080,14.0,8,framestack_k8,1
2092,50.0,8,framestack_k8,1
2116,39.0,8,framestack_k8,1
2144,31.0,8,framestack_k8,1
2152,17.0,8,framestack_k8,1
2160,16.0,8,framestack_k8,1
2240,23.0,8,framestack_k8,1
2244,31.0,8,framestack_k8,1
2248,21.0,8,framestack_k8,1
2288,33.0,8,framestack_k8,1
2296,11.0,8,framestack_k8,1
2300,14.0,8,framestack_k8,1
