step,return,config,seed
64,16.0,ppo_framestack_pomdp,3
72,18.0,ppo_framestack_pomdp,3
108,27.0,ppo_framestack_pomdp,3
116,12.0,ppo_framestack_pomdp,3
160,40.0,ppo_framestack_pomdp,3
168,23.0,ppo_framestack_pomdp,3
168,14.0,ppo_framestack_pomdp,3
216,11.0,ppo_framestack_pomdp,3
244,20.0,ppo_framestack_pomdp,3
252,33.0,ppo_framestack_pomdp,3
268,12.0,ppo_framestack_pomdp,3
272,25.0,ppo_framestack_pomdp,3
300,13.0,ppo_framestack_pomdp,3
312,14.0,ppo_framestack_pomdp,3
332,15.0,ppo_framestack_pomdp,3
396,20.0,ppo_framestack_pomdp,3
408,18.0,ppo_framestack_pomdp,3
452,37.0,ppo_framestack_pomdp,3
468,14.0,ppo_framestack_pomdp,3
476,50.0,ppo_framestack_pomdp,3
516,15.0,ppo_framestack_pomdp,3
520,10.0,ppo_framestack_pomdp,3
540,35.0,ppo_framestack_pomdp,3
604,21.0,ppo_framestack_pomdp,3
608,21.0,ppo_framestack_pomdp,3
668,14.0,ppo_framestack_pomdp,3
668,15.0,ppo_framestack_pomdp,3
672,32.0,ppo_framestack_pomdp,3
712,10.0,ppo_framestack_pomdp,3
756,10.0,ppo_framestack_pomdp,3
776,25.0,ppo_framestack_pomdp,3
792,30.0,ppo_framestack_pomdp,3
804,11.0,ppo_framestack_pomdp,3
876,17.0,ppo_framestack_pomdp,3
908,28.0,ppo_framestack_pomdp,3
932,38.0,ppo_framestack_pomdp,3
952,120.0,ppo_framestack_pomdp,3
956,11.0,ppo_framestack_pomdp,3
964,21.0,ppo_framestack_pomdp,3
992,14.0,ppo_framestack_pomdp,3
1000,10.0,ppo_framestack_pomdp,3
1024,14.0,ppo_framestack_pomdp,3
1056,13.0,ppo_framestack_pomdp,3
1076,30.0,ppo_framestack_pomdp,3
1124,32.0,ppo_framestack_pomdp,3
1136,19.0,ppo_framestack_pomdp,3
1172,11.0,ppo_framestack_pomdp,3
1184,26.0,ppo_framestack_pomdp,3
1204,16.0,ppo_framestack_pomdp,3
1248,15.0,ppo_framestack_pomdp,3
1280,26.0,ppo_framestack_pomdp,3
1284,64.0,ppo_framestack_pomdp,3
1336,32.0,ppo_framestack_pomdp,3
1360,18.0,ppo_framestack_pomdp,3
1424,35.0,ppo_framestack_pomdp,3
1424,43.0,ppo_framestack_pomdp,3
1432,17.0,ppo_framestack_pomdp,3
1432,23.0,ppo_framestack_pomdp,3
1476,12.0,ppo_framestack_pomdp,3
1500,16.0,ppo_framestack_pomdp,3
1552,31.0,ppo_framestack_pomdp,3
1560,14.0,ppo_framestack_pomdp,3
1580,36.0,ppo_framestack_pomdp,3
1616,34.0,ppo_framestack_pomdp,3
1628,18.0,ppo_framestack_pomdp,3
1632,12.0,ppo_framestack_pomdp,3
1684,12.0,ppo_framestack_pomdp,3
1744,45.0,ppo_framestack_pomdp,3
1764,19.0,ppo_framestack_pomdp,3
1784,41.0,ppo_framestack_pomdp,3
1816,12.0,ppo_framestack_pomdp,3
1848,15.0,ppo_framestack_pomdp,3
1856,56.0,ppo_framestack_pomdp,3
1860,28.0,ppo_framestack_pomdp,3
1904,11.0,ppo_framestack_pomdp,3
1904,13.0,ppo_framestack_pomdp,3
1920,25.0,ppo_framestack_pomdp,3
1968,15.0,ppo_framestack_pomdp,3
1972,27.0,ppo_framestack_pomdp,3
2032,14.0,ppo_framestack_pomdp,3
2056,33.0,ppo_framestack_pomdp,3
2068,40.0,ppo_framestack_pomdp,3
2068,24.0,ppo_framestack_pomdp,3
2100,16.0,ppo_framestack_pomdp,3
2116,11.0,ppo_framestack_pomdp,3
2136,19.0,ppo_framestack_pomdp,3
2140,17.0,ppo_framestack_pomdp,3
2164,15.0,ppo_framestack_pomdp,3
2184,10.0,ppo_framestack_pomdp,3
2188,17.0,ppo_framestack_pomdp,3
2212,18.0,ppo_framestack_pomdp,3
2236,17.0,ppo_framestack_pomdp,3
2244,14.0,ppo_framestack_pomdp,3
2264,18.0,ppo_framestack_pomdp,3
2304,22.0,ppo_framestack_pomdp,3
