step,return,config,seed
3544,10.0,ppo_mlp_pomdp,2
3592,11.0,ppo_mlp_pomdp,2
3600,21.0,ppo_mlp_pomdp,2
3640,9.0,ppo_mlp_pomdp,2
3640,49.0,ppo_mlp_pomdp,2
3676,20.0,ppo_mlp_pomdp,2
3696,13.0,ppo_mlp_pomdp,2
3736,56.0,ppo_mlp_pomdp,2
3776,19.0,ppo_mlp_pomdp,2
3788,27.0,ppo_mlp_pomdp,2
3800,39.0,ppo_mlp_pomdp,2
3836,24.0,ppo_mlp_pomdp,2
3840,15.0,ppo_mlp_pomdp,2
3860,14.0,ppo_mlp_pomdp,2
3872,20.0,ppo_mlp_pomdp,2
3936,18.0,ppo_mlp_pomdp,2
3944,25.0,ppo_mlp_pomdp,2
3956,29.0,ppo_mlp_pomdp,2
4016,17.0,ppo_mlp_pomdp,2
4024,21.0,ppo_mlp_pomdp,2
4060,10.0,ppo_mlp_pomdp,2
4084,14.0,ppo_mlp_pomdp,2
4120,40.0,ppo_mlp_pomdp,2
4132,64.0,ppo_mlp_pomdp,2
4144,14.0,ppo_mlp_pomdp,2
4164,25.0,ppo_mlp_pomdp,2
4208,10.0,ppo_mlp_pomdp,2
4220,21.0,ppo_mlp_pomdp,2
4240,29.0,ppo_mlp_pomdp,2
4272,15.0,ppo_mlp_pomdp,2
4296,13.0,ppo_mlp_pomdp,2
4296,37.0,ppo_mlp_pomdp,2
4332,14.0,ppo_mlp_pomdp,2
4344,30.0,ppo_mlp_pomdp,2
4360,15.0,ppo_mlp_pomdp,2
4432,17.0,ppo_mlp_pomdp,2
4432,24.0,ppo_mlp_pomdp,2
4436,34.0,ppo_mlp_pomdp,2
4476,32.0,ppo_mlp_pomdp,2
4484,12.0,ppo_mlp_pomdp,2
4568,32.0,ppo_mlp_pomdp,2
4572,21.0,ppo_mlp_pomdp,2
4644,41.0,ppo_mlp_pomdp,2
4676,25.0,ppo_mlp_pomdp,2
4688,63.0,ppo_mlp_pomdp,2
4776,51.0,ppo_mlp_pomdp,2
4816,34.0,ppo_mlp_pomdp,2
4840,15.0,ppo_mlp_pomdp,2
4868,55.0,ppo_mlp_pomdp,2
4872,45.0,ppo_mlp_pomdp,2
4900,14.0,ppo_mlp_pomdp,2
4972,24.0,ppo_mlp_pomdp,2
4996,23.0,ppo_mlp_pomdp,2
5000,32.0,ppo_mlp_pomdp,2
5032,53.0,ppo_mlp_pomdp,2
5060,14.0,ppo_mlp_pomdp,2
5072,24.0,ppo_mlp_pomdp,2
