step,return,config,seed
68,17.0,ppo_mlp_pomdp,3
108,27.0,ppo_mlp_pomdp,3
128,32.0,ppo_mlp_pomdp,3
140,35.0,ppo_mlp_pomdp,3
168,14.0,ppo_mlp_pomdp,3
172,10.0,ppo_mlp_pomdp,3
188,11.0,ppo_mlp_pomdp,3
192,30.0,ppo_mlp_pomdp,3
236,15.0,ppo_mlp_pomdp,3
256,21.0,ppo_mlp_pomdp,3
276,20.0,ppo_mlp_pomdp,3
364,43.0,ppo_mlp_pomdp,3
380,35.0,ppo_mlp_pomdp,3
380,25.0,ppo_mlp_pomdp,3
420,40.0,ppo_mlp_pomdp,3
428,15.0,ppo_mlp_pomdp,3
436,13.0,ppo_mlp_pomdp,3
460,19.0,ppo_mlp_pomdp,3
488,12.0,ppo_mlp_pomdp,3
504,20.0,ppo_mlp_pomdp,3
532,25.0,ppo_mlp_pomdp,3
572,27.0,ppo_mlp_pomdp,3
584,19.0,ppo_mlp_pomdp,3
616,10.0,ppo_mlp_pomdp,3
664,11.0,ppo_mlp_pomdp,3
664,19.0,ppo_mlp_pomdp,3
680,47.0,ppo_mlp_pomdp,3
720,46.0,ppo_mlp_pomdp,3
732,16.0,ppo_mlp_pomdp,3
752,17.0,ppo_mlp_pomdp,3
760,23.0,ppo_mlp_pomdp,3
780,11.0,ppo_mlp_pomdp,3
856,33.0,ppo_mlp_pomdp,3
872,27.0,ppo_mlp_pomdp,3
872,22.0,ppo_mlp_pomdp,3
884,32.0,ppo_mlp_pomdp,3
924,16.0,ppo_mlp_pomdp,3
928,13.0,ppo_mlp_pomdp,3
952,19.0,ppo_mlp_pomdp,3
984,13.0,ppo_mlp_pomdp,3
1004,19.0,ppo_mlp_pomdp,3
1012,14.0,ppo_mlp_pomdp,3
1032,36.0,ppo_mlp_pomdp,3
1044,9.0,ppo_mlp_pomdp,3
1048,15.0,ppo_mlp_pomdp,3
1076,10.0,ppo_mlp_pomdp,3
1080,16.0,ppo_mlp_pomdp,3
1100,12.0,ppo_mlp_pomdp,3
1144,16.0,ppo_mlp_pomdp,3
1156,18.0,ppo_mlp_pomdp,3
1156,27.0,ppo_mlp_pomdp,3
1160,14.0,ppo_mlp_pomdp,3
1224,15.0,ppo_mlp_pomdp,3
1248,22.0,ppo_mlp_pomdp,3
1292,16.0,ppo_mlp_pomdp,3
1296,37.0,ppo_mlp_pomdp,3
1324,41.0,ppo_mlp_pomdp,3
1372,11.0,ppo_mlp_pomdp,3
1376,31.0,ppo_mlp_pomdp,3
1380,20.0,ppo_mlp_pomdp,3
1428,12.0,ppo_mlp_pomdp,3
1440,16.0,ppo_mlp_pomdp,3
1448,38.0,ppo_mlp_pomdp,3
1452,17.0,ppo_mlp_pomdp,3
1492,9.0,ppo_mlp_pomdp,3
1500,12.0,ppo_mlp_pomdp,3
1540,27.0,ppo_mlp_pomdp,3
1556,28.0,ppo_mlp_pomdp,3
1580,21.0,ppo_mlp_pomdp,3
1596,23.0,ppo_mlp_pomdp,3
1636,19.0,ppo_mlp_pomdp,3
1636,23.0,ppo_mlp_pomdp,3
1640,10.0,ppo_mlp_pomdp,3
1676,23.0,ppo_mlp_pomdp,3
1696,14.0,ppo_mlp_pomdp,3
1712,17.0,ppo_mlp_pomdp,3
1732,13.0,ppo_mlp_pomdp,3
1732,23.0,ppo_mlp_pomdp,3
1784,17.0,ppo_mlp_pomdp,3
1800,25.0,ppo_mlp_pomdp,3
1852,29.0,ppo_mlp_pomdp,3
1856,13.0,ppo_mlp_pomdp,3
1924,16.0,ppo_mlp_pomdp,3
1928,18.0,ppo_mlp_pomdp,3
1968,58.0,ppo_mlp_pomdp,3
1972,11.0,ppo_mlp_pomdp,3
2004,18.0,ppo_mlp_pomdp,3
2044,18.0,ppo_mlp_pomdp,3
2048,65.0,ppo_mlp_pomdp,3
2084,27.0,ppo_mlp_pomdp,3
2112,16.0,ppo_mlp_pomdp,3
2112,26.0,ppo_mlp_pomdp,3
2132,11.0,ppo_mlp_pomdp,3
2136,21.0,ppo_mlp_pomdp,3
2196,14.0,ppo_mlp_pomdp,3
2200,21.0,ppo_mlp_pomdp,3
2204,22.0,ppo_mlp_pomdp,3
2236,25.0,ppo_mlp_pomdp,3
2256,14.0,ppo_mlp_pomdp,3
2280,19.0,ppo_mlp_pomdp,3
2304,11.0,ppo_mlp_pomdp,3
2320,28.0,ppo_mlp_pomdp,3
2356,29.0,ppo_mlp_pomdp,3
2364,20.0,ppo_mlp_pomdp,3
2404,11.0,ppo_mlp_pomdp,3
2408,21.0,ppo_mlp_pomdp,3
2412,11.0,ppo_mlp_pomdp,3
2420,28.0,ppo_mlp_pomdp,3
2448,10.0,ppo_mlp_pomdp,3
2460,11.0,ppo_mlp_pomdp,3
2492,20.0,ppo_mlp_pomdp,3
2508,14.0,ppo_mlp_pomdp,3
2572,15.0,ppo_mlp_pomdp,3
2656,20.0,ppo_mlp_pomdp,3
2660,49.0,ppo_mlp_pomdp,3
2692,67.0,ppo_mlp_pomdp,3
2728,58.0,ppo_mlp_pomdp,3
2744,12.0,ppo_mlp_pomdp,3
2748,21.0,ppo_mlp_pomdp,3
2776,29.0,ppo_mlp_pomdp,3
2788,10.0,ppo_mlp_pomdp,3
2808,14.0,ppo_mlp_pomdp,3
2828,12.0,ppo_mlp_pomdp,3
2872,20.0,ppo_mlp_pomdp,3
2880,17.0,ppo_mlp_pomdp,3
2904,18.0,ppo_mlp_pomdp,3
2940,16.0,ppo_mlp_pomdp,3
2944,15.0,ppo_mlp_pomdp,3
2952,55.0,ppo_mlp_pomdp,3
2972,16.0,ppo_mlp_pomdp,3
3004,12.0,ppo_mlp_pomdp,3
3012,17.0,ppo_mlp_pomdp,3
3040,23.0,ppo_mlp_pomdp,3
3056,20.0,ppo_mlp_pomdp,3
3100,21.0,ppo_mlp_pomdp,3
3124,29.0,ppo_mlp_pomdp,3
3124,16.0,ppo_mlp_pomdp,3
3136,23.0,ppo_mlp_pomdp,3
3172,11.0,ppo_mlp_pomdp,3
3244,29.0,ppo_mlp_pomdp,3
3248,18.0,ppo_mlp_pomdp,3
3252,28.0,ppo_mlp_pomdp,3
3300,13.0,ppo_mlp_pomdp,3
3308,51.0,ppo_mlp_pomdp,3
3308,13.0,ppo_mlp_pomdp,3
3324,18.0,ppo_mlp_pomdp,3
3368,14.0,ppo_mlp_pomdp,3
3368,16.0,ppo_mlp_pomdp,3
3392,20.0,ppo_mlp_pomdp,3
3420,12.0,ppo_mlp_pomdp,3
3456,15.0,ppo_mlp_pomdp,3
3488,29.0,ppo_mlp_pomdp,3
3500,43.0,ppo_mlp_pomdp,3
3512,22.0,ppo_mlp_pomdp,3
3560,17.0,ppo_mlp_pomdp,3
3568,13.0,ppo_mlp_pomdp,3
3568,16.0,ppo_mlp_pomdp,3
3616,39.0,ppo_mlp_pomdp,3
3644,20.0,ppo_mlp_pomdp,3
3672,25.0,ppo_mlp_pomdp,3
3688,17.0,ppo_mlp_pomdp,3
3696,31.0,ppo_mlp_pomdp,3
3700,13.0,ppo_mlp_pomdp,3
3772,18.0,ppo_mlp_pomdp,3
3800,27.0,ppo_mlp_pomdp,3
3800,31.0,ppo_mlp_pomdp,3
3816,28.0,ppo_mlp_pomdp,3
3820,11.0,ppo_mlp_pomdp,3
3872,17.0,ppo_mlp_pomdp,3
3888,16.0,ppo_mlp_pomdp,3
3896,19.0,ppo_mlp_pomdp,3
3896,23.0,ppo_mlp_pomdp,3
3956,14.0,ppo_mlp_pomdp,3
3980,26.0,ppo_mlp_pomdp,3
4000,10.0,ppo_mlp_pomdp,3
4016,31.0,ppo_mlp_pomdp,3
4052,38.0,ppo_mlp_pomdp,3
4112,14.0,ppo_mlp_pomdp,3
4132,32.0,ppo_mlp_pomdp,3
