step,return,config,seed
52,13.0,ppo_lstm_pomdp,1
56,14.0,ppo_lstm_pomdp,1
68,17.0,ppo_lstm_pomdp,1
80,20.0,ppo_lstm_pomdp,1
124,13.0,ppo_lstm_pomdp,1
152,23.0,ppo_lstm_pomdp,1
156,25.0,ppo_lstm_pomdp,1
200,18.0,ppo_lstm_pomdp,1
204,30.0,ppo_lstm_pomdp,1
240,21.0,ppo_lstm_pomdp,1
244,21.0,ppo_lstm_pomdp,1
272,17.0,ppo_lstm_pomdp,1
276,17.0,ppo_lstm_pomdp,1
304,14.0,ppo_lstm_pomdp,1
332,22.0,ppo_lstm_pomdp,1
332,13.0,ppo_lstm_pomdp,1
348,10.0,ppo_lstm_pomdp,1
368,23.0,ppo_lstm_pomdp,1
392,14.0,ppo_lstm_pomdp,1
412,15.0,ppo_lstm_pomdp,1
416,20.0,ppo_lstm_pomdp,1
468,24.0,ppo_lstm_pomdp,1
476,14.0,ppo_lstm_pomdp,1
500,21.0,ppo_lstm_pomdp,1
508,28.0,ppo_lstm_pomdp,1
568,16.0,ppo_lstm_pomdp,1
568,22.0,ppo_lstm_pomdp,1
576,26.0,ppo_lstm_pomdp,1
580,17.0,ppo_lstm_pomdp,1
628,11.0,ppo_lstm_pomdp,1
636,16.0,ppo_lstm_pomdp,1
660,20.0,ppo_lstm_pomdp,1
676,26.0,ppo_lstm_pomdp,1
696,14.0,ppo_lstm_pomdp,1
732,13.0,ppo_lstm_pomdp,1
740,19.0,ppo_lstm_pomdp,1
764,16.0,ppo_lstm_pomdp,1
784,12.0,ppo_lstm_pomdp,1
796,41.0,ppo_lstm_pomdp,1
812,11.0,ppo_lstm_pomdp,1
852,27.0,ppo_lstm_pomdp,1
892,26.0,ppo_lstm_pomdp,1
892,23.0,ppo_lstm_pomdp,1
948,13.0,ppo_lstm_pomdp,1
956,35.0,ppo_lstm_pomdp,1
972,19.0,ppo_lstm_pomdp,1
1000,36.0,ppo_lstm_pomdp,1
1016,16.0,ppo_lstm_pomdp,1
1052,19.0,ppo_lstm_pomdp,1
1064,11.0,ppo_lstm_pomdp,1
1104,25.0,ppo_lstm_pomdp,1
1108,37.0,ppo_lstm_pomdp,1
1164,27.0,ppo_lstm_pomdp,1
1168,15.0,ppo_lstm_pomdp,1
1180,28.0,ppo_lstm_pomdp,1
1236,13.0,ppo_lstm_pomdp,1
1284,11.0,ppo_lstm_pomdp,1
1288,30.0,ppo_lstm_pomdp,1
1320,37.0,ppo_lstm_pomdp,1
1340,13.0,ppo_lstm_pomdp,1
1360,9.0,ppo_lstm_pomdp,1
1372,65.0,ppo_lstm_pomdp,1
1396,13.0,ppo_lstm_pomdp,1
1444,20.0,ppo_lstm_pomdp,1
1484,48.0,ppo_lstm_pomdp,1
1492,29.0,ppo_lstm_pomdp,1
1512,28.0,ppo_lstm_pomdp,1
1520,18.0,ppo_lstm_pomdp,1
1540,11.0,ppo_lstm_pomdp,1
1552,16.0,ppo_lstm_pomdp,1
1596,20.0,ppo_lstm_pomdp,1
1600,14.0,ppo_lstm_pomdp,1
1628,18.0,ppo_lstm_pomdp,1
1636,28.0,ppo_lstm_pomdp,1
1668,9.0,ppo_lstm_pomdp,1
1684,20.0,ppo_lstm_pomdp,1
1692,23.0,ppo_lstm_pomdp,1
