step,return,config,seed
56,14.0,ppo_mlp_mdp,3
60,15.0,ppo_mlp_mdp,3
64,16.0,ppo_mlp_mdp,3
112,28.0,ppo_mlp_mdp,3
116,13.0,ppo_mlp_mdp,3
188,18.0,ppo_mlp_mdp,3
220,25.0,ppo_mlp_mdp,3
248,47.0,ppo_mlp_mdp,3
272,20.0,ppo_mlp_mdp,3
300,58.0,ppo_mlp_mdp,3
332,27.0,ppo_mlp_mdp,3
332,14.0,ppo_mlp_mdp,3
380,32.0,ppo_mlp_mdp,3
428,23.0,ppo_mlp_mdp,3
432,32.0,ppo_mlp_mdp,3
476,35.0,ppo_mlp_mdp,3
516,9.0,ppo_mlp_mdp,3
520,34.0,ppo_mlp_mdp,3
532,24.0,ppo_mlp_mdp,3
580,37.0,ppo_mlp_mdp,3
584,12.0,ppo_mlp_mdp,3
608,21.0,ppo_mlp_mdp,3
616,24.0,ppo_mlp_mdp,3
652,10.0,ppo_mlp_mdp,3
700,20.0,ppo_mlp_mdp,3
728,35.0,ppo_mlp_mdp,3
736,20.0,ppo_mlp_mdp,3
748,41.0,ppo_mlp_mdp,3
776,18.0,ppo_mlp_mdp,3
792,15.0,ppo_mlp_mdp,3
836,24.0,ppo_mlp_mdp,3
912,33.0,ppo_mlp_mdp,3
916,41.0,ppo_mlp_mdp,3
924,21.0,ppo_mlp_mdp,3
972,14.0,ppo_mlp_mdp,3
1000,20.0,ppo_mlp_mdp,3
1004,52.0,ppo_mlp_mdp,3
1036,15.0,ppo_mlp_mdp,3
1096,22.0,ppo_mlp_mdp,3
1104,44.0,ppo_mlp_mdp,3
1108,17.0,ppo_mlp_mdp,3
1132,32.0,ppo_mlp_mdp,3
1180,11.0,ppo_mlp_mdp,3
1184,21.0,ppo_mlp_mdp,3
1216,27.0,ppo_mlp_mdp,3
1232,11.0,ppo_mlp_mdp,3
1244,33.0,ppo_mlp_mdp,3
1284,25.0,ppo_mlp_mdp,3
1296,12.0,ppo_mlp_mdp,3
1308,18.0,ppo_mlp_mdp,3
1336,12.0,ppo_mlp_mdp,3
1368,17.0,ppo_mlp_mdp,3
1368,37.0,ppo_mlp_mdp,3
1400,15.0,ppo_mlp_mdp,3
1420,12.0,ppo_mlp_mdp,3
1424,13.0,ppo_mlp_mdp,3
1424,28.0,ppo_mlp_mdp,3
1500,18.0,ppo_mlp_mdp,3
1520,23.0,ppo_mlp_mdp,3
1544,35.0,ppo_mlp_mdp,3
1544,30.0,ppo_mlp_mdp,3
1584,15.0,ppo_mlp_mdp,3
1592,22.0,ppo_mlp_mdp,3
1620,18.0,ppo_mlp_mdp,3
1680,21.0,ppo_mlp_mdp,3
1688,35.0,ppo_mlp_mdp,3
1688,25.0,ppo_mlp_mdp,3
1716,23.0,ppo_mlp_mdp,3
1756,16.0,ppo_mlp_mdp,3
1812,30.0,ppo_mlp_mdp,3
1812,23.0,ppo_mlp_mdp,3
1816,14.0,ppo_mlp_mdp,3
1864,12.0,ppo_mlp_mdp,3
1908,56.0,ppo_mlp_mdp,3
1932,28.0,ppo_mlp_mdp,3
1936,30.0,ppo_mlp_mdp,3
1948,20.0,ppo_mlp_mdp,3
1988,12.0,ppo_mlp_mdp,3
2000,16.0,ppo_mlp_mdp,3
2024,28.0,ppo_mlp_mdp,3
2044,13.0,ppo_mlp_mdp,3
2088,15.0,ppo_mlp_mdp,3
2132,45.0,ppo_mlp_mdp,3
2140,23.0,ppo_mlp_mdp,3
2152,15.0,ppo_mlp_mdp,3
2156,38.0,ppo_mlp_mdp,3
2232,18.0,ppo_mlp_mdp,3
2272,29.0,ppo_mlp_mdp,3
2292,37.0,ppo_mlp_mdp,3
2296,15.0,ppo_mlp_mdp,3
2320,46.0,ppo_mlp_mdp,3
2344,12.0,ppo_mlp_mdp,3
2388,22.0,ppo_mlp_mdp,3
2396,18.0,ppo_mlp_mdp,3
2416,35.0,ppo_mlp_mdp,3
2456,27.0,ppo_mlp_mdp,3
2516,31.0,ppo_mlp_mdp,3
2532,18.0,ppo_mlp_mdp,3
2544,31.0,ppo_mlp_mdp,3
2604,51.0,ppo_mlp_mdp,3
2604,21.0,ppo_mlp_mdp,3
2608,18.0,ppo_mlp_mdp,3
2644,24.0,ppo_mlp_mdp,3
2684,18.0,ppo_mlp_mdp,3
2688,20.0,ppo_mlp_mdp,3
2716,27.0,ppo_mlp_mdp,3
2768,30.0,ppo_mlp_mdp,3
2800,20.0,ppo_mlp_mdp,3
2872,46.0,ppo_mlp_mdp,3
2900,52.0,ppo_mlp_mdp,3
2932,32.0,ppo_mlp_mdp,3
2948,18.0,ppo_mlp_mdp,3
2952,45.0,ppo_mlp_mdp,3
3008,18.0,ppo_mlp_mdp,3
3036,20.0,ppo_mlp_mdp,3
3044,23.0,ppo_mlp_mdp,3
3052,37.0,ppo_mlp_mdp,3
3064,13.0,ppo_mlp_mdp,3
3116,15.0,ppo_mlp_mdp,3
3172,31.0,ppo_mlp_mdp,3
3248,32.0,ppo_mlp_mdp,3
3276,59.0,ppo_mlp_mdp,3
3296,11.0,ppo_mlp_mdp,3
3320,36.0,ppo_mlp_mdp,3
3344,16.0,ppo_mlp_mdp,3
3428,26.0,ppo_mlp_mdp,3
3436,34.0,ppo_mlp_mdp,3
3436,92.0,ppo_mlp_mdp,3
3448,25.0,ppo_mlp_mdp,3
3536,21.0,ppo_mlp_mdp,3
3548,27.0,ppo_mlp_mdp,3
3592,13.0,ppo_mlp_mdp,3
3604,41.0,ppo_mlp_mdp,3
3656,26.0,ppo_mlp_mdp,3
3664,14.0,ppo_mlp_mdp,3
3668,59.0,ppo_mlp_mdp,3
3736,35.0,ppo_mlp_mdp,3
3764,23.0,ppo_mlp_mdp,3
3796,32.0,ppo_mlp_mdp,3
3820,20.0,ppo_mlp_mdp,3
3824,41.0,ppo_mlp_mdp,3
3864,10.0,ppo_mlp_mdp,3
3900,25.0,ppo_mlp_mdp,3
3924,39.0,ppo_mlp_mdp,3
3960,23.0,ppo_mlp_mdp,3
4028,31.0,ppo_mlp_mdp,3
4100,68.0,ppo_mlp_mdp,3
4112,37.0,ppo_mlp_mdp,3
4124,49.0,ppo_mlp_mdp,3
4160,14.0,ppo_mlp_mdp,3
4204,19.0,ppo_mlp_mdp,3
4216,25.0,ppo_mlp_mdp,3
4244,20.0,ppo_mlp_mdp,3
4276,14.0,ppo_mlp_mdp,3
4284,63.0,ppo_mlp_mdp,3
4356,37.0,ppo_mlp_mdp,3
4360,28.0,ppo_mlp_mdp,3
4376,24.0,ppo_mlp_mdp,3
4428,17.0,ppo_mlp_mdp,3
4472,46.0,ppo_mlp_mdp,3
4564,22.0,ppo_mlp_mdp,3
4600,59.0,ppo_mlp_mdp,3
4624,48.0,ppo_mlp_mdp,3
4628,15.0,ppo_mlp_mdp,3
4688,77.0,ppo_mlp_mdp,3
4704,18.0,ppo_mlp_mdp,3
4748,30.0,ppo_mlp_mdp,3
4772,42.0,ppo_mlp_mdp,3
4820,28.0,ppo_mlp_mdp,3
4868,29.0,ppo_mlp_mdp,3
4872,45.0,ppo_mlp_mdp,3
4908,33.0,ppo_mlp_mdp,3
4928,13.0,ppo_mlp_mdp,3
4972,37.0,ppo_mlp_mdp,3
5036,26.0,ppo_mlp_mdp,3
5052,35.0,ppo_mlp_mdp,3
5068,23.0,ppo_mlp_mdp,3
5136,24.0,ppo_mlp_mdp,3
5184,78.0,ppo_mlp_mdp,3
5208,38.0,ppo_mlp_mdp,3
5280,23.0,ppo_mlp_mdp,3
5308,59.0,ppo_mlp_mdp,3
5312,43.0,ppo_mlp_mdp,3
5396,46.0,ppo_mlp_mdp,3
5436,38.0,ppo_mlp_mdp,3
5476,19.0,ppo_mlp_mdp,3
5492,45.0,ppo_mlp_mdp,3
5536,55.0,ppo_mlp_mdp,3
5580,25.0,ppo_mlp_mdp,3
5632,48.0,ppo_mlp_mdp,3
5692,49.0,ppo_mlp_mdp,3
5736,10.0,ppo_mlp_mdp,3
5756,54.0,ppo_mlp_mdp,3
5816,45.0,ppo_mlp_mdp,3
5824,60.0,ppo_mlp_mdp,3
5884,31.0,ppo_mlp_mdp,3
5924,46.0,ppo_mlp_mdp,3
5936,29.0,ppo_mlp_mdp,3
6016,32.0,ppo_mlp_mdp,3
6036,27.0,ppo_mlp_mdp,3
6116,19.0,ppo_mlp_mdp,3
6124,46.0,ppo_mlp_mdp,3
6140,30.0,ppo_mlp_mdp,3
6212,23.0,ppo_mlp_mdp,3
6296,117.0,ppo_mlp_mdp,3
6392,44.0,ppo_mlp_mdp,3
6408,70.0,ppo_mlp_mdp,3
6472,82.0,ppo_mlp_mdp,3
6508,24.0,ppo_mlp_mdp,3
6604,52.0,ppo_mlp_mdp,3
