step,return,config,seed
96,24.0,ppo_lstm_pomdp,3
100,25.0,ppo_lstm_pomdp,3
104,26.0,ppo_lstm_pomdp,3
156,12.0,ppo_lstm_pomdp,3
164,15.0,ppo_lstm_pomdp,3
164,16.0,ppo_lstm_pomdp,3
168,42.0,ppo_lstm_pomdp,3
204,9.0,ppo_lstm_pomdp,3
236,19.0,ppo_lstm_pomdp,3
244,18.0,ppo_lstm_pomdp,3
276,17.0,ppo_lstm_pomdp,3
300,13.0,ppo_lstm_pomdp,3
308,17.0,ppo_lstm_pomdp,3
320,38.0,ppo_lstm_pomdp,3
360,14.0,ppo_lstm_pomdp,3
408,24.0,ppo_lstm_pomdp,3
428,37.0,ppo_lstm_pomdp,3
468,14.0,ppo_lstm_pomdp,3
472,37.0,ppo_lstm_pomdp,3
516,21.0,ppo_lstm_pomdp,3
544,18.0,ppo_lstm_pomdp,3
552,47.0,ppo_lstm_pomdp,3
576,25.0,ppo_lstm_pomdp,3
592,18.0,ppo_lstm_pomdp,3
596,10.0,ppo_lstm_pomdp,3
596,12.0,ppo_lstm_pomdp,3
640,11.0,ppo_lstm_pomdp,3
648,17.0,ppo_lstm_pomdp,3
660,15.0,ppo_lstm_pomdp,3
660,15.0,ppo_lstm_pomdp,3
696,11.0,ppo_lstm_pomdp,3
744,20.0,ppo_lstm_pomdp,3
768,31.0,ppo_lstm_pomdp,3
772,27.0,ppo_lstm_pomdp,3
776,19.0,ppo_lstm_pomdp,3
816,17.0,ppo_lstm_pomdp,3
824,11.0,ppo_lstm_pomdp,3
832,14.0,ppo_lstm_pomdp,3
872,13.0,ppo_lstm_pomdp,3
892,16.0,ppo_lstm_pomdp,3
928,13.0,ppo_lstm_pomdp,3
956,30.0,ppo_lstm_pomdp,3
960,47.0,ppo_lstm_pomdp,3
964,17.0,ppo_lstm_pomdp,3
980,12.0,ppo_lstm_pomdp,3
996,8.0,ppo_lstm_pomdp,3
1088,26.0,ppo_lstm_pomdp,3
1092,33.0,ppo_lstm_pomdp,3
1140,35.0,ppo_lstm_pomdp,3
1144,13.0,ppo_lstm_pomdp,3
1164,49.0,ppo_lstm_pomdp,3
1212,16.0,ppo_lstm_pomdp,3
1268,13.0,ppo_lstm_pomdp,3
1268,43.0,ppo_lstm_pomdp,3
1280,28.0,ppo_lstm_pomdp,3
1292,37.0,ppo_lstm_pomdp,3
1328,14.0,ppo_lstm_pomdp,3
1336,13.0,ppo_lstm_pomdp,3
1352,20.0,ppo_lstm_pomdp,3
