step,ep_rew_mean,ep_len_mean,config,seed
2048,0.41612244444444446,79.22222222222223,recurrent,2
4096,0.28671612121212126,89.03030303030303,recurrent,2
6144,0.30382858,101.94,recurrent,2
8192,0.26667055714285715,102.65714285714286,recurrent,2
10240,0.25942945161290326,103.6236559139785,recurrent,2
12288,0.24395919999999996,107.64,recurrent,2
14336,0.26177145999999996,108.91,recurrent,2
16384,0.31915514,93.52,recurrent,2
18432,0.35477146,77.02,recurrent,2
20480,0.40002039999999994,36.69,recurrent,2
22528,0.48511838000000007,24.82,recurrent,2
24576,0.47271430999999997,16.04,recurrent,2
26624,0.4614857400000001,16.49,recurrent,2
28672,0.46990619,10.14,recurrent,2
30720,0.42975104999999997,7.11,recurrent,2
32768,0.53273474,10.16,recurrent,2
34816,0.60526944,7.05,recurrent,2
36864,0.47817147,7.15,recurrent,2
38912,0.54795102,6.51,recurrent,2
40960,0.40147759,5.79,recurrent,2
43008,0.46934697999999997,6.17,recurrent,2
45056,0.5188694600000001,5.61,recurrent,2
47104,0.5272898699999999,6.0,recurrent,2
49152,0.44092658,5.57,recurrent,2
51200,0.51920004,5.64,recurrent,2
53248,0.45077963,5.6,recurrent,2
55296,0.50081635,4.92,recurrent,2
57344,0.5196775800000001,5.81,recurrent,2
59392,0.51092658,4.63,recurrent,2
61440,0.50232254,4.37,recurrent,2
63488,0.57872246,4.98,recurrent,2
65536,0.46136738,4.82,recurrent,2
67584,0.4807429100000001,5.06,recurrent,2
69632,0.55063273,4.8,recurrent,2
71680,0.51920006,5.12,recurrent,2
73728,0.45173477,4.84,recurrent,2
75776,0.45151432999999996,5.07,recurrent,2
77824,0.48000821000000005,5.23,recurrent,2
79872,0.49077961000000003,4.74,recurrent,2
81920,0.55026535,4.69,recurrent,2
83968,0.50129392,4.72,recurrent,2
86016,0.579898,4.91,recurrent,2
88064,0.5701552,5.03,recurrent,2
90112,0.49140413000000005,4.76,recurrent,2
92160,0.43199185,4.79,recurrent,2
94208,0.5307062,4.64,recurrent,2
96256,0.6180245600000001,4.84,recurrent,2
98304,0.6197510900000001,4.62,recurrent,2
100352,0.50114698,4.75,recurrent,2
102400,0.43335109000000005,4.29,recurrent,2
104448,0.45206534,4.73,recurrent,2
106496,0.51063267,4.73,recurrent,2
108544,0.53129396,4.46,recurrent,2
110592,0.50140414,4.6,recurrent,2
112640,0.47184495,4.49,recurrent,2
114688,0.5593837100000001,4.93,recurrent,2
116736,0.5499714800000001,5.01,recurrent,2
118784,0.47199188999999997,4.66,recurrent,2
120832,0.5304490300000001,4.93,recurrent,2
122880,0.5700082000000001,4.64,recurrent,2
124928,0.5597143600000001,4.79,recurrent,2
126976,0.5208531200000001,4.57,recurrent,2
129024,0.5298245500000001,5.03,recurrent,2
131072,0.5297877799999999,4.95,recurrent,2
133120,0.45246944,4.53,recurrent,2
135168,0.49140412,4.68,recurrent,2
137216,0.45188168000000006,4.53,recurrent,2
139264,0.5703020900000001,4.82,recurrent,2
141312,0.41188166000000004,4.82,recurrent,2
143360,0.46184493000000004,4.73,recurrent,2
145408,0.5309633300000001,4.51,recurrent,2
147456,0.43298373999999995,4.38,recurrent,2
149504,0.47213882999999995,4.59,recurrent,2
151552,0.5504122899999999,4.82,recurrent,2
153600,0.41302047000000003,4.48,recurrent,2
155648,0.48195516000000005,4.68,recurrent,2
157696,0.46169799,4.82,recurrent,2
159744,0.4621020900000001,4.47,recurrent,2
161792,0.39353471999999995,4.55,recurrent,2
163840,0.48221232,4.59,recurrent,2
165888,0.5309632900000001,4.85,recurrent,2
167936,0.45041229,5.07,recurrent,2
169984,0.42184493999999995,4.89,recurrent,2
172032,0.51125718,4.57,recurrent,2
174080,0.54074286,4.53,recurrent,2
176128,0.51096332,4.58,recurrent,2
178176,0.59077969,4.29,recurrent,2
180224,0.52133067,4.58,recurrent,2
182272,0.48184496000000004,4.4,recurrent,2
184320,0.45232249,4.43,recurrent,2
186368,0.56092664,4.22,recurrent,2
188416,0.4721021,4.56,recurrent,2
190464,0.46217556000000004,4.61,recurrent,2
192512,0.46199192000000006,4.54,recurrent,2
194560,0.48195514999999994,4.42,recurrent,2
196608,0.54033883,4.73,recurrent,2
198656,0.42232248000000006,4.7,recurrent,2
200704,0.5207796200000001,4.61,recurrent,2
202752,0.46191846,4.91,recurrent,2
204800,0.50111028,4.7,recurrent,2
206848,0.4428367899999999,4.38,recurrent,2
208896,0.59927354,4.62,recurrent,2
210944,0.46063266999999997,4.93,recurrent,2
212992,0.45224903999999994,4.55,recurrent,2
215040,0.55059598,4.41,recurrent,2
217088,0.56041228,4.5,recurrent,2
219136,0.49195516,4.52,recurrent,2
221184,0.45202865,4.58,recurrent,2
223232,0.42283677,4.53,recurrent,2
225280,0.44243271,4.54,recurrent,2
227328,0.5503021,4.71,recurrent,2
229376,0.45235924,4.6,recurrent,2
231424,0.53129394,4.42,recurrent,2
233472,0.42235924999999996,4.87,recurrent,2
235520,0.5410000599999999,4.63,recurrent,2
237568,0.5008530800000001,4.71,recurrent,2
239616,0.48191840999999996,4.47,recurrent,2
241664,0.5706694699999999,4.49,recurrent,2
243712,0.51180824,4.59,recurrent,2
245760,0.48169801000000007,4.96,recurrent,2
247808,0.54088985,4.44,recurrent,2
249856,0.46213881,4.68,recurrent,2
251904,0.50111023,4.69,recurrent,2
253952,0.42309394,4.51,recurrent,2
256000,0.47177146999999997,4.9,recurrent,2
258048,0.5411837299999999,4.45,recurrent,2
260096,0.46184494,4.62,recurrent,2
262144,0.53118376,4.54,recurrent,2
264192,0.45239597,4.47,recurrent,2
266240,0.46173472000000004,4.64,recurrent,2
268288,0.50147759,4.53,recurrent,2
270336,0.3933510699999999,4.56,recurrent,2
272384,0.43283681,4.63,recurrent,2
274432,0.42276331000000006,4.58,recurrent,2
276480,0.50122048,4.61,recurrent,2
278528,0.42202860000000003,4.59,recurrent,2
280576,0.45224903,4.62,recurrent,2
282624,0.47173473,4.51,recurrent,2
284672,0.43257965000000004,4.71,recurrent,2
286720,0.47180821,4.64,recurrent,2
288768,0.53118376,4.38,recurrent,2
290816,0.48166127000000003,4.56,recurrent,2
292864,0.4621020900000001,4.58,recurrent,2
294912,0.5604123,4.47,recurrent,2
296960,0.46221231,4.58,recurrent,2
299008,0.48088987000000005,4.72,recurrent,2
301056,0.5410735299999999,4.45,recurrent,2
303104,0.44232249,4.63,recurrent,2
305152,0.47228575999999994,4.4,recurrent,2
307200,0.55070619,4.57,recurrent,2
309248,0.54100008,4.75,recurrent,2
311296,0.43291025,4.48,recurrent,2
313344,0.46228576000000005,4.46,recurrent,2
315392,0.46287354999999997,4.27,recurrent,2
317440,0.44221231000000005,4.68,recurrent,2
319488,0.49114694999999997,4.69,recurrent,2
321536,0.42316742000000007,4.28,recurrent,2
323584,0.57037556,4.52,recurrent,2
325632,0.41283680000000006,9.32,recurrent,2
327680,0.52111025,6.91,recurrent,2
329728,0.55066946,4.49,recurrent,2
331776,0.47217555,4.55,recurrent,2
333824,0.52111028,4.57,recurrent,2
335872,0.4719918799999999,4.56,recurrent,2
337920,0.48221231,6.78,recurrent,2
339968,0.46210209999999996,4.5,recurrent,2
342016,0.54107354,4.63,recurrent,2
344064,0.48188169,4.51,recurrent,2
346112,0.5506327299999999,6.91,recurrent,2
348160,0.5606327099999999,6.85,recurrent,2
350208,0.44239596,4.49,recurrent,2
352256,0.56118375,4.28,recurrent,2
354304,0.39349804,4.47,recurrent,2
356352,0.4719919,4.6,recurrent,2
358400,0.54982454,4.78,recurrent,2
360448,0.59982456,4.45,recurrent,2
362496,0.46191843000000005,4.55,recurrent,2
364544,0.4914775999999999,4.49,recurrent,2
366592,0.45199186,4.69,recurrent,2
368640,0.43324088999999993,4.25,recurrent,2
370688,0.43287352,4.66,recurrent,2
372736,0.45224905000000004,4.54,recurrent,2
374784,0.52100007,4.6,recurrent,2
376832,0.5018817099999999,4.4,recurrent,2
378880,0.49140414000000004,4.65,recurrent,2
380928,0.56927351,4.82,recurrent,2
382976,0.50180822,4.48,recurrent,2
385024,0.42309394,4.44,recurrent,2
387072,0.5116612800000001,4.33,recurrent,2
389120,0.50173479,4.5,recurrent,2
391168,0.50206539,4.36,recurrent,2
393216,0.49133069,4.68,recurrent,2
395264,0.48188168,4.35,recurrent,2
397312,0.46206532999999994,4.46,recurrent,2
399360,0.46261641,4.37,recurrent,2
401408,0.44250617,4.52,recurrent,2
