step,ep_rew_mean,ep_len_mean,config,seed
321536,0.47195514000000005,4.61,framestack,3
323584,0.5312204799999999,4.55,framestack,3
325632,0.5017714799999999,4.52,framestack,3
327680,0.5597878000000001,4.71,framestack,3
329728,0.54033877,4.84,framestack,3
331776,0.44291025000000006,4.4,framestack,3
333824,0.40206531000000006,4.95,framestack,3
335872,0.4322857500000001,4.76,framestack,3
337920,0.41217552999999996,4.83,framestack,3
339968,0.53092658,4.71,framestack,3
342016,0.46180816999999996,4.88,framestack,3
344064,0.49169802000000007,4.51,framestack,3
346112,0.51033884,4.87,framestack,3
348160,0.51166133,4.97,framestack,3
350208,0.53030208,4.73,framestack,3
352256,0.5403755499999999,4.92,framestack,3
354304,0.49100003999999997,4.81,framestack,3
356352,0.48166129999999996,4.88,framestack,3
358400,0.4611836899999999,5.23,framestack,3
360448,0.5200817,4.77,framestack,3
362496,0.5008163800000001,4.83,framestack,3
364544,0.46155108,4.99,framestack,3
366592,0.48125719000000006,4.73,framestack,3
368640,0.49114694999999997,4.89,framestack,3
370688,0.5108898300000001,4.77,framestack,3
372736,0.54052248,4.61,framestack,3
374784,0.5010368,4.79,framestack,3
376832,0.50081638,5.06,framestack,3
378880,0.52956739,4.96,framestack,3
380928,0.5296408400000001,5.34,framestack,3
382976,0.4225429,4.87,framestack,3
385024,0.5400081999999999,5.05,framestack,3
387072,0.5205591900000001,4.81,framestack,3
389120,0.47136738,4.72,framestack,3
391168,0.45114697,5.04,framestack,3
393216,0.49133065000000004,4.75,framestack,3
395264,0.48158780999999995,4.6,framestack,3
397312,0.53931026,4.91,framestack,3
399360,0.53055925,4.83,framestack,3
401408,0.56033887,4.77,framestack,3
