step,ep_rew_mean,ep_len_mean,config,seed
2048,0.3052119230769231,66.6923076923077,recurrent,3
4096,0.3525056944444444,91.16666666666667,recurrent,3
6144,0.35393253846153844,100.63461538461539,recurrent,3
8192,0.35008407352941173,108.92647058823529,recurrent,3
10240,0.3296717282608696,104.25,recurrent,3
12288,0.32180002,111.05,recurrent,3
14336,0.29955919999999997,108.6,recurrent,3
16384,0.26844898,97.03,recurrent,3
18432,0.30918369,81.07,recurrent,3
20480,0.41458371,56.05,recurrent,3
22528,0.46811021999999997,32.41,recurrent,3
24576,0.44241226,14.66,recurrent,3
26624,0.5850939000000001,12.54,recurrent,3
28672,0.46733474,9.76,recurrent,3
30720,0.48574694000000007,7.66,recurrent,3
32768,0.44504901999999996,8.17,recurrent,3
34816,0.42978777000000007,6.96,recurrent,3
36864,0.43295511000000003,8.06,recurrent,3
38912,0.55526938,8.2,recurrent,3
40960,0.4787959,6.47,recurrent,3
43008,0.4486123000000001,6.57,recurrent,3
45056,0.5664816399999999,6.08,recurrent,3
47104,0.50886944,7.01,recurrent,3
49152,0.5384286,5.76,recurrent,3
51200,0.5361878,6.29,recurrent,3
53248,0.48582041000000004,6.81,recurrent,3
55296,0.48923672999999995,5.63,recurrent,3
57344,0.49085309000000005,5.18,recurrent,3
59392,0.55000822,5.69,recurrent,3
61440,0.4601551300000001,5.33,recurrent,3
63488,0.54629798,6.7,recurrent,3
65536,0.46070615000000004,5.5,recurrent,3
67584,0.4902286,5.82,recurrent,3
69632,0.46033883000000003,5.4,recurrent,3
71680,0.40246942,5.15,recurrent,3
73728,0.48070617000000004,5.42,recurrent,3
75776,0.50081635,4.92,recurrent,3
77824,0.44070618000000006,5.7,recurrent,3
79872,0.40206532,5.77,recurrent,3
81920,0.46107348000000004,5.38,recurrent,3
83968,0.47769391,6.08,recurrent,3
86016,0.4699714300000001,5.65,recurrent,3
88064,0.39235921999999995,5.35,recurrent,3
90112,0.46048572,5.37,recurrent,3
92160,0.49971433000000004,5.37,recurrent,3
94208,0.48037554000000005,5.32,recurrent,3
96256,0.49978779,5.28,recurrent,3
98304,0.4909265500000001,5.02,recurrent,3
100352,0.57740006,5.82,recurrent,3
102400,0.50912655,5.88,recurrent,3
104448,0.50986128,5.37,recurrent,3
106496,0.54864902,5.81,recurrent,3
108544,0.5187224800000001,5.29,recurrent,3
110592,0.53927355,5.21,recurrent,3
112640,0.49934699000000005,5.52,recurrent,3
114688,0.48030208,5.46,recurrent,3
116736,0.43155107000000015,5.28,recurrent,3
118784,0.4712571900000001,5.13,recurrent,3
120832,0.47978779000000005,6.13,recurrent,3
122880,0.4910368100000001,4.93,recurrent,3
124928,0.45059599000000006,5.44,recurrent,3
126976,0.5099715,5.22,recurrent,3
129024,0.49008167,5.33,recurrent,3
131072,0.47066945000000004,5.37,recurrent,3
133120,0.5198245600000001,5.28,recurrent,3
135168,0.3726530900000001,5.37,recurrent,3
137216,0.46953068000000003,5.6,recurrent,3
139264,0.49964085,5.27,recurrent,3
141312,0.41133063,5.58,recurrent,3
143360,0.44144084,5.52,recurrent,3
145408,0.4709633100000001,5.04,recurrent,3
147456,0.40217557,5.11,recurrent,3
149504,0.5196041000000001,5.24,recurrent,3
151552,0.4810367800000001,5.1,recurrent,3
153600,0.49026536,5.28,recurrent,3
155648,0.5301551700000001,5.09,recurrent,3
157696,0.5205592200000001,5.12,recurrent,3
159744,0.5282449000000001,5.45,recurrent,3
161792,0.43217555,4.96,recurrent,3
163840,0.62695924,5.44,recurrent,3
165888,0.48122045,5.22,recurrent,3
167936,0.43541635,6.73,recurrent,3
169984,0.49063271999999997,5.08,recurrent,3
172032,0.4510735400000001,5.16,recurrent,3
174080,0.4416613,5.25,recurrent,3
176128,0.51997146,5.28,recurrent,3
178176,0.5476571699999999,5.79,recurrent,3
180224,0.50949392,5.56,recurrent,3
182272,0.53964089,5.11,recurrent,3
184320,0.5591633500000001,5.69,recurrent,3
186368,0.53986131,5.03,recurrent,3
188416,0.5286123,5.66,recurrent,3
190464,0.55949393,5.01,recurrent,3
192512,0.5194571800000001,7.17,recurrent,3
194560,0.47908983,5.51,recurrent,3
196608,0.45100007,5.12,recurrent,3
198656,0.48081641,5.42,recurrent,3
200704,0.4695306900000001,6.56,recurrent,3
202752,0.46107354,5.12,recurrent,3
204800,0.5396408699999999,5.17,recurrent,3
206848,0.47125719,5.0,recurrent,3
208896,0.46765719000000006,6.2,recurrent,3
210944,0.51066941,4.97,recurrent,3
212992,0.50044902,5.05,recurrent,3
215040,0.35349801,4.93,recurrent,3
217088,0.5290163600000001,5.24,recurrent,3
219136,0.54901637,5.14,recurrent,3
221184,0.53967762,5.07,recurrent,3
223232,0.42199187000000005,5.32,recurrent,3
225280,0.48074288,4.99,recurrent,3
227328,0.45133066,5.23,recurrent,3
229376,0.49077967,5.05,recurrent,3
231424,0.48092660000000004,5.19,recurrent,3
233472,0.57931029,4.99,recurrent,3
235520,0.49092661000000004,5.03,recurrent,3
