step,ep_rew_mean,ep_len_mean,config,seed
2048,0.21026684615384614,122.23076923076923,framestack,1
4096,0.2845883103448276,110.75862068965517,framestack,1
6144,0.2622537608695652,115.65217391304348,framestack,1
8192,0.25159043103448275,125.41379310344827,framestack,1
10240,0.2709448271604939,115.04938271604938,framestack,1
12288,0.29789389000000005,105.82,framestack,1
14336,0.3013102,92.25,framestack,1
16384,0.33573878999999995,69.44,framestack,1
18432,0.33148573,63.67,framestack,1
20480,0.38321229,50.43,framestack,1
22528,0.4993347399999999,21.66,framestack,1
24576,0.46077556000000003,23.59,framestack,1
26624,0.41810613,12.25,framestack,1
28672,0.52652657,12.55,framestack,1
30720,0.4711551300000001,9.74,framestack,1
32768,0.41883268000000007,6.45,framestack,1
34816,0.41839186999999994,7.03,framestack,1
36864,0.50740005,6.43,framestack,1
38912,0.48471841,7.31,framestack,1
40960,0.54321231,8.11,framestack,1
43008,0.47026536,5.32,framestack,1
45056,0.58424086,6.68,framestack,1
47104,0.51784083,6.67,framestack,1
49152,0.52861233,5.61,framestack,1
51200,0.43824494,6.18,framestack,1
53248,0.47839189000000004,7.28,framestack,1
55296,0.47997148,5.6,framestack,1
57344,0.50879595,7.25,framestack,1
59392,0.52993471,5.97,framestack,1
61440,0.45107352,5.85,framestack,1
63488,0.46993474,6.3,framestack,1
65536,0.52048578,5.73,framestack,1
67584,0.51077965,5.39,framestack,1
69632,0.59934701,5.03,framestack,1
71680,0.53839185,5.37,framestack,1
73728,0.48103677999999994,4.98,framestack,1
75776,0.42173472000000006,5.03,framestack,1
77824,0.39048575999999996,5.78,framestack,1
79872,0.47997143999999997,5.35,framestack,1
81920,0.55813474,5.45,framestack,1
83968,0.4501183899999999,5.74,framestack,1
86016,0.44070615,5.67,framestack,1
88064,0.5102652999999999,5.37,framestack,1
90112,0.47162451999999994,4.96,framestack,1
92160,0.51993474,5.27,framestack,1
94208,0.44118366999999997,5.23,framestack,1
96256,0.5006694199999999,5.13,framestack,1
98304,0.43180816000000005,5.29,framestack,1
100352,0.45066943000000004,5.32,framestack,1
102400,0.50081634,4.9,framestack,1
104448,0.46184495999999997,4.83,framestack,1
106496,0.5196408800000001,5.19,framestack,1
108544,0.43133067,5.21,framestack,1
110592,0.4711470199999999,4.97,framestack,1
112640,0.5006694500000001,5.04,framestack,1
114688,0.4983918600000001,5.54,framestack,1
116736,0.50133068,4.74,framestack,1
118784,0.48140415000000003,4.77,framestack,1
120832,0.49004493,5.15,framestack,1
122880,0.47158778999999995,5.04,framestack,1
124928,0.45081637,5.54,framestack,1
126976,0.5889796300000001,4.85,framestack,1
129024,0.47169801,4.65,framestack,1
131072,0.5005959499999999,5.23,framestack,1
133120,0.42265309,4.82,framestack,1
135168,0.46022859000000005,5.6,framestack,1
137216,0.51993471,5.2,framestack,1
139264,0.50129396,4.91,framestack,1
141312,0.50103679,4.65,framestack,1
143360,0.53081641,4.69,framestack,1
145408,0.49026536,4.86,framestack,1
147456,0.46217557,4.73,framestack,1
149504,0.50125717,4.71,framestack,1
151552,0.53044904,5.06,framestack,1
153600,0.53927355,5.31,framestack,1
155648,0.55055925,4.75,framestack,1
157696,0.39191839000000006,5.42,framestack,1
159744,0.49202863999999996,4.83,framestack,1
161792,0.51151436,4.51,framestack,1
163840,0.56986127,4.74,framestack,1
165888,0.5101184200000001,4.88,framestack,1
167936,0.51048572,5.13,framestack,1
169984,0.44151432,5.22,framestack,1
172032,0.3833878,4.46,framestack,1
174080,0.44004493000000006,5.38,framestack,1
176128,0.40202861000000006,4.98,framestack,1
178176,0.50103678,4.8,framestack,1
180224,0.5406327100000001,4.66,framestack,1
182272,0.45129390999999996,4.87,framestack,1
184320,0.48088981000000003,4.83,framestack,1
186368,0.49997149,5.0,framestack,1
188416,0.5698613,4.8,framestack,1
190464,0.4914408600000001,4.71,framestack,1
192512,0.4417347399999999,4.85,framestack,1
194560,0.43272657000000003,4.44,framestack,1
196608,0.56004498,4.84,framestack,1
198656,0.46202863,4.64,framestack,1
200704,0.58041231,4.41,framestack,1
202752,0.44228577999999996,5.02,framestack,1
204800,0.49151435,4.54,framestack,1
206848,0.56004496,4.92,framestack,1
208896,0.52147761,4.46,framestack,1
210944,0.45239597000000004,4.47,framestack,1
212992,0.5308531,4.6,framestack,1
215040,0.4818816700000001,4.46,framestack,1
217088,0.53140417,4.51,framestack,1
219136,0.49155106,4.7,framestack,1
221184,0.54033883,4.72,framestack,1
223232,0.48184493000000006,4.54,framestack,1
225280,0.421698,4.9,framestack,1
227328,0.4230571999999999,4.58,framestack,1
229376,0.47184495000000004,4.51,framestack,1
231424,0.38342455000000003,4.6,framestack,1
233472,0.4227633,4.66,framestack,1
235520,0.48184498,4.62,framestack,1
237568,0.5705225100000001,4.54,framestack,1
239616,0.48136739,4.63,framestack,1
241664,0.5307429300000001,4.67,framestack,1
243712,0.53133067,4.4,framestack,1
245760,0.44309394999999996,4.36,framestack,1
247808,0.47173471000000006,4.73,framestack,1
249856,0.47213883,4.45,framestack,1
251904,0.43261638,4.42,framestack,1
253952,0.51114697,4.58,framestack,1
256000,0.45280006,4.36,framestack,1
258048,0.52103678,4.53,framestack,1
260096,0.51096333,4.78,framestack,1
262144,0.5410000500000001,4.75,framestack,1
264192,0.48202863,4.52,framestack,1
266240,0.47217556,4.44,framestack,1
268288,0.5308531,4.67,framestack,1
270336,0.45239599999999996,4.51,framestack,1
272384,0.47195513999999994,4.45,framestack,1
274432,0.5017347600000001,4.54,framestack,1
276480,0.5015510599999999,4.65,framestack,1
278528,0.5309633300000001,4.64,framestack,1
280576,0.5307061799999999,4.78,framestack,1
282624,0.52059594,4.75,framestack,1
284672,0.53081638,4.49,framestack,1
286720,0.51158779,4.44,framestack,1
288768,0.55092658,4.39,framestack,1
290816,0.46243270000000003,4.35,framestack,1
292864,0.45228577000000003,4.58,framestack,1
294912,0.49180819,4.59,framestack,1
296960,0.5302286,4.72,framestack,1
299008,0.47199184000000005,4.53,framestack,1
301056,0.49140413999999993,4.77,framestack,1
303104,0.46147756,4.77,framestack,1
305152,0.5805592599999999,4.47,framestack,1
307200,0.50140414,4.57,framestack,1
309248,0.48136741,4.74,framestack,1
311296,0.46221228,4.63,framestack,1
313344,0.43316741000000003,4.45,framestack,1
315392,0.49147758,4.46,framestack,1
317440,0.49166128,4.56,framestack,1
319488,0.51092659,4.59,framestack,1
321536,0.5015877799999999,4.48,framestack,1
323584,0.49147762,4.59,framestack,1
325632,0.46224901000000007,4.46,framestack,1
327680,0.5502653299999999,4.58,framestack,1
329728,0.45213881,4.67,framestack,1
331776,0.39313065999999997,4.53,framestack,1
333824,0.56030206,4.6,framestack,1
335872,0.47188168,4.59,framestack,1
337920,0.40257961000000003,4.62,framestack,1
339968,0.50235925,4.33,framestack,1
342016,0.48184496000000004,4.53,framestack,1
344064,0.53129393,4.55,framestack,1
346112,0.44235926,4.51,framestack,1
348160,0.5114041300000001,4.66,framestack,1
350208,0.50136737,4.57,framestack,1
352256,0.5309633100000001,4.53,framestack,1
354304,0.43173477000000005,4.93,framestack,1
356352,0.46254288000000005,4.42,framestack,1
358400,0.5604123200000001,4.67,framestack,1
360448,0.49133063000000005,4.6,framestack,1
362496,0.41305719999999996,4.6,framestack,1
364544,0.54037555,4.72,framestack,1
366592,0.52133067,4.45,framestack,1
368640,0.48188169,4.64,framestack,1
370688,0.5017714999999999,4.45,framestack,1
372736,0.48184495,4.58,framestack,1
374784,0.4913306499999999,4.73,framestack,1
376832,0.42268982,4.43,framestack,1
378880,0.4622123000000001,4.46,framestack,1
380928,0.44224904000000004,4.58,framestack,1
382976,0.46213882,4.56,framestack,1
385024,0.45191840000000005,4.5,framestack,1
387072,0.49173475000000005,4.52,framestack,1
389120,0.5404489900000001,4.62,framestack,1
391168,0.49184494,4.51,framestack,1
393216,0.5112939300000001,4.34,framestack,1
395264,0.50158782,4.54,framestack,1
397312,0.5601184100000001,4.78,framestack,1
399360,0.46202863000000005,4.62,framestack,1
401408,0.5505592500000001,4.59,framestack,1
