step,ep_rew_mean,ep_len_mean,config,seed
2048,0.39172793333333333,98.2,framestack,2
4096,0.3141632666666666,112.3,framestack,2
6144,0.3081442790697674,126.37209302325581,framestack,2
8192,0.3147346999999999,104.72857142857143,framestack,2
10240,0.345082311827957,101.9247311827957,framestack,2
12288,0.35718778000000007,103.05,framestack,2
14336,0.37940004,95.09,framestack,2
16384,0.37844496,90.41,framestack,2
18432,0.3402939300000001,73.38,framestack,2
20480,0.43230616,37.24,framestack,2
22528,0.44643269,25.8,framestack,2
24576,0.4537714399999999,22.11,framestack,2
26624,0.45461635,14.13,framestack,2
28672,0.4504571999999999,14.32,framestack,2
30720,0.4632122699999999,10.73,framestack,2
32768,0.5245714800000001,7.82,framestack,2
34816,0.54490206,8.02,framestack,2
36864,0.48288168,9.03,framestack,2
38912,0.55574698,6.7,framestack,2
40960,0.49751026,5.93,framestack,2
43008,0.45081637,5.76,framestack,2
45056,0.50607761,6.79,framestack,2
47104,0.51512249,7.05,framestack,2
49152,0.45784086,6.43,framestack,2
51200,0.45019187000000005,5.72,framestack,2
53248,0.52817144,6.26,framestack,2
55296,0.58743678,5.25,framestack,2
57344,0.55000822,4.78,framestack,2
59392,0.5897143800000001,4.83,framestack,2
61440,0.47052247999999997,5.05,framestack,2
63488,0.54993473,5.33,framestack,2
65536,0.4812204299999999,5.33,framestack,2
67584,0.54011841,4.98,framestack,2
69632,0.4130572,4.77,framestack,2
71680,0.51092661,4.72,framestack,2
73728,0.42022861,5.48,framestack,2
75776,0.49140413000000005,4.92,framestack,2
77824,0.46136738,4.82,framestack,2
79872,0.49151433999999994,4.5,framestack,2
81920,0.48133065,4.81,framestack,2
83968,0.54960412,4.85,framestack,2
86016,0.53931024,5.04,framestack,2
88064,0.36327757999999993,5.07,framestack,2
90112,0.39309391000000005,4.74,framestack,2
92160,0.49147760000000007,4.57,framestack,2
94208,0.52971433,4.98,framestack,2
96256,0.46997147,5.27,framestack,2
98304,0.48213884,4.59,framestack,2
100352,0.43217557000000006,4.79,framestack,2
102400,0.53030211,4.66,framestack,2
104448,0.55030211,4.65,framestack,2
106496,0.49118374000000004,4.64,framestack,2
108544,0.5214408899999999,4.53,framestack,2
110592,0.3736449399999999,4.86,framestack,2
112640,0.60706949,5.57,framestack,2
114688,0.48129394,4.71,framestack,2
116736,0.42276331999999994,4.59,framestack,2
118784,0.48151433000000005,4.7,framestack,2
120832,0.5105592299999999,5.08,framestack,2
122880,0.5605225,4.59,framestack,2
124928,0.51111023,4.62,framestack,2
126976,0.34379187,4.72,framestack,2
129024,0.56890615,4.73,framestack,2
131072,0.34408574000000003,4.67,framestack,2
133120,0.55978785,4.81,framestack,2
135168,0.5204857700000001,4.64,framestack,2
137216,0.47166128999999996,4.77,framestack,2
139264,0.6192735299999998,5.23,framestack,2
141312,0.43221228000000006,4.71,framestack,2
143360,0.50011843,5.0,framestack,2
145408,0.48026534000000004,5.21,framestack,2
147456,0.5488327100000001,5.23,framestack,2
149504,0.40257962999999997,5.38,framestack,2
151552,0.39111025,5.09,framestack,2
